normalized_name,status,start_date,end_date,mise_a_jour,date_dernier_rapport,normalized_molecule_name,atc_code,atc_class_code,atc_class_name,manufacturer
"CEFEPIME Viatris 2g , poudre pour solution injectable",Tension,2023-08-22,2024-03-07,2023-08-22,2024-02-04,Céfépime (dichlorhydrate de) monohydraté,J01DE01,J,Anti-infectieux à usage systémique,Viatris
CEFIXIME - Oroken toutes formes orales,Tension,2023-01-27,,2023-07-07,2023-11-10,Cefixime,J01DD08,J,Anti-infectieux à usage systémique,0
CEFPODOXIME - Orelox toutes formes orales ,Tension,2022-12-27,,2023-01-19,2024-02-04,Cefpodoxime,J01DD13,J,Anti-infectieux à usage systémique,Tous
"CEFUROXIME-ZINNAT forme comprimé, tous dosages",Tension,2023-01-27,,2023-01-27,2023-11-10,Cefuroxime,J01DC02,J,Anti-infectieux à usage systémique,0
"CELESTENE CHRONODOSE 5,70 mg/ml, suspension injectable",Tension,2021-09-10,2021-12-22,2021-12-22,2022-01-24,Bétaméthasone,H02AB01,H,Hormones systémiques sauf hormones sexuelles et insulines,MSD
"CELESTENE CHRONODOSE 5,70 mg/ml, suspension injectable – Célestène 4 mg/1 ml, solution injectable",Tension,2023-02-03,,2023-07-27,2024-05-07,Bétaméthasone (phosphate sodique de),H02AB01,H,Hormones systémiques sauf hormones sexuelles et insulines,0
"CELSENTRI 20 mg/ml, solution buvable",Tension,2023-04-14,2023-08-29,2023-04-14,2023-08-01,Maraviroc,J05AX09,J,Anti-infectieux à usage systémique,0
"CERNEVIT, poudre pour solution injectable ou pour perfusion",Tension,2021-07-01,2023-05-24,2023-02-01,2023-05-01,Association de vitamines hydrosolubles et liposolubles,B05XC,B,Sang et organes hématopoïétiques,Baxter
"CERUBIDINE 20 mg, poudre pour solution pour perfusion",Tension,2023-01-10,,2023-01-10,2023-09-27,Daunorubicine,L01DB02,L,Antinéoplasiques et immunomodulateurs,0
"CHAMPIX 0,5 mg et 1 mg, comprimé pelliculé",Rupture,2021-05-21,,,2021-06-03,Varenicline,N07BA03,N,Système nerveux,Pfizer
"CHAMPIX 0,5 mg et 1 mg, comprimé pelliculé, CHAMPIX 0,5 mg, comprimé pelliculé et CHAMPIX 1 mg, comprimé pelliculé",Rupture,2021-06-23,,2021-07-15,2024-05-07,Varenicline,N07BA03,N,Système nerveux,Pfizer
"CHLORHYDRATE DE PROCAINE LAVOISIER 10 et 20 mg/ml, solution injectable",Rupture,2021-04-13,,2021-04-19,2022-02-07,Procaïne,N01BA02,N,Système nerveux,Lavoisier
"CHLORURE DE MAGNESIUM 10 POUR CENT (1 g/10 ml) LAVOISIER, solution injectable (I.V.) en ampoule – ampoule verre de 10 ml",Tension,2021-11-30,2022-01-10,2022-01-17,2022-01-24,Chlorure de magnésium,B05XA05,B,Sang et organes hématopoïétiques,Lavoisier
"CHLORURE DE POTASSIUM LAVOISIER 10 % (0,10 g/ml), solution à diluer pour perfusion, ampoules de verre de 10 ml",Rupture,2021-11-30,,2021-11-30,2023-11-10,Potassium (chlorure de),"A12BA01, B05XA01 ",A,Voies digestives et métabolisme,Lavoisier
"CHLORURE DE POTASSIUM LAVOISIER 20 % (0,20 g/ml), solution à diluer pour perfusion",Rupture,2021-12-07,,2021-12-07,2023-11-10,Potassium (chlorure de),"A12BA01, B05XA01 ",A,Voies digestives et métabolisme,Lavoisier
"CIFLOX 200 mg/100 mL, solution pour perfusion (IV)",Tension,2023-02-13,2023-08-23,2023-07-26,2023-08-01,Ciprofloxacine,J01MA02,J,Anti-infectieux à usage systémique,0
CIMETIDINE 200 mg  comprimé effervescent,Tension,2020-09-04,,2021-04-19,2023-08-01,Cimétidine,A02BA01,A,Voies digestives et métabolisme,0
CIMETIDINE ARROW 200 mg  comprimé effervescent,Rupture,2020-05-29,,2021-04-19,2023-08-01,Cimétidine,A02BA01,A,Voies digestives et métabolisme,Arrow
"CINACALCET 30 mg, 60 mg et 90 mg comprimé pelliculé",Tension,2023-09-21,,2024-01-19,2024-05-07,Cinacalcet (chlorhydrate de),H05BX01,H,Hormones systémiques sauf hormones sexuelles et insulines,0
CIPROFLOXACINE ARROW 500mg  comprimé pelliculé,Tension,2020-11-04,2021-05-27,2020-11-04,2021-05-17,Ciprofloxacine,J01MA02,J,Anti-infectieux à usage systémique,Arrow
"CISATRACURIUM MYLAN 2 mg/ml, solution injectable ou pour perfusion, ampoule de 10 ml",Rupture,2021-03-02,,2021-04-19,2022-02-07,CISATRACURIUM,M03AC11,M,Système musculo-squelettique ,Mylan
"CLAMOXYL 1g, poudre pour solution injectable/pour perfusion (IM-IV)",Tension,2020-10-19,2022-04-05,2021-12-10,2022-02-07,Amoxicilline,J01CA04,J,Anti-infectieux à usage systémique,GSK
"CLAMOXYL 1g, poudre pour solution injectable/pour perfusion (IM-IV) boite de 1 flacon ",Rupture,2022-04-05,,2022-04-05,2023-12-05,Amoxicilline,J01CA04,J,Anti-infectieux à usage systémique,GSK
"CLAMOXYL 2 g, poudre pour solution injectable/ pour perfusion (IM-IV)",Tension,2020-10-19,2021-04-12,2020-10-19,2021-04-05,Amoxicilline,J01CA04,J,Anti-infectieux à usage systémique,GSK
"CLAMOXYL 500mg, poudre pour solution injectable/pour perfusion (IM-IV)",Tension,2020-10-19,2021-06-02,2021-04-12,2021-05-17,Amoxicilline,J01CA04,J,Anti-infectieux à usage systémique,GSK
"CLARITHROMYCINE 25 mg/ml et 50 mg/ml, granulés pour suspension buvable",Tension,2023-01-20,,2023-07-13,2024-05-07,Clarithromycine,J01FA09,J,Anti-infectieux à usage systémique,0
"CLAVENTIN, poudre pour solution injectable (I.V.) /TIMENTIN 3,1g, poudre pour solution injectable",Rupture,2020-08-05,,2021-04-19,2024-05-07,Ticarcilline/acide clavulanique,J01CR03,J,Anti-infectieux à usage systémique,0
"COAGADEX 500 UI, poudre et solvant pour solution injectable",Tension,2023-05-30,,2024-03-04,2024-05-07,Facteur X de coagulation humain,B02BD10,B,Sang et organes hématopoïétiques,0
"COLCHIMAX, comprimé pelliculé sécable",Tension,2020-09-03,2022-01-25,2021-04-19,2022-01-24,Colchicine/Opium/Tiémonium méthylsulfate,M04AC01,M,Système musculo-squelettique ,Laboratoires Mayoly Spindler
COLI-GENTA AP-HP 27 mg - 50 mg gélule enfant,Rupture,2024-03-12,,2024-03-12,2024-05-07,"Colistine, gentamicine","J01XB01 (colistine), J01GB03 (gentamicine)",J,Anti-infectieux à usage systémique,0
"COMBANTRIN 125 mg/5 ml, suspension buvable",Rupture,2023-01-05,2023-03-14,2023-03-01,2023-04-19,Pyrantel,P02CC01,P,"Antiparasitaires, insecticides et répulsifs",Teofarma
"COMBANTRIN 125 mg/5 ml, suspension buvable",Tension,2023-05-11,,2023-05-11,2023-06-06,Pyrantel,P02CC01,P,"Antiparasitaires, insecticides et répulsifs",Teofarma
"COMTAN 200 mg comprimé pelliculé, boîte de 60",Rupture,2020-12-16,,2021-04-19,2022-02-07,Entacapone,N04BX02,N,Système nerveux,Orion
"CONCERTA LP, comprimé à libération prolongée",Tension,2022-06-17,,2024-02-22,2024-05-07,Méthylphénidate (chlorhydrate de),N06BA04,N,Système nerveux,Janssen-Cilag
"CONFEROPORT 0,5 mg et 5 mg, gélule à libération prolongée",Rupture,2023-10-23,,2023-10-23,2023-11-10,Tacrolimus,L04AD02,L,Antinéoplasiques et immunomodulateurs,Sandoz
"CONFEROPORT 2 mg, gélule à libération prolongée ",Tension,2023-04-17,,2023-04-17,2023-07-22,Tacrolimus,L04AD02,L,Antinéoplasiques et immunomodulateurs,Sandoz
"CONFEROPORT 5 mg, gélule à libération prolongée",Tension,2023-11-22,2023-12-20,2023-11-22,2023-12-05,Tacrolimus,L04AD02,L,Antinéoplasiques et immunomodulateurs,Sandoz
"CORGARD 80 mg, comprimé sécable",Tension,2023-09-15,2024-04-08,2024-01-18,2024-03-01,Nadolol,C07AA12,C,Système cardiovasculaire,Sanofi
"CORVASAL 2 mg et 4 mg, comprimé, Molsidomine 2 mg et 4 mg, comprimé",Tension,2021-08-27,2024-03-12,2022-01-20,2024-03-01,Molsidomine,C01DX12,C,Système cardiovasculaire,Cheplapharm
"CORVASAL 2 mg, comprimé sécable",Tension,2021-08-27,2024-03-12,2022-01-20,2024-03-01,Molsidomine,C01DX12,C,Système cardiovasculaire,Cheplapharm
"COTRIMOXAZOLE Teva 800 mg/160 mg, comprimé",Rupture,2022-06-17,2022-07-05,2022-06-17,2022-06-28,Sulfaméthoxazole / Triméthoprime,J01EE01,J,Anti-infectieux à usage systémique,Teva
"COTRIMOXAZOLE Teva 800 mg/160 mg, comprimé",Tension,2022-07-05,2022-11-30,2022-07-05,2022-11-19,Sulfaméthoxazole / Triméthoprime,J01EE01,J,Anti-infectieux à usage systémique,Teva
"COTRIMOXAZOLE Teva 800 mg/160 mg, comprimé",Rupture,2022-11-30,2023-01-10,2022-11-30,2023-01-05,Sulfaméthoxazole / Triméthoprime,J01EE01,J,Anti-infectieux à usage systémique,Teva
"COTRIMOXAZOLE Teva 800 mg/160 mg, comprimé",Tension,2023-01-10,2023-06-28,2023-01-10,2023-03-01,Sulfaméthoxazole / Triméthoprime,J01EE01,J,Anti-infectieux à usage systémique,Teva
"CREON 10 000 U, gélule gastrorésistante",Tension,2023-10-05,,2024-01-11,2024-05-07,Pancréatine,A09AA02,A,Voies digestives et métabolisme,Viatris
"CREON 25 000 U, gélule gastro-résistante",Tension,2019-11-20,2024-01-11,2024-01-11,2024-05-07,Pancréatine,A09AA02,A,Voies digestives et métabolisme,Viatris
"CREON 35 000 U, gélule gastrorésistante",Tension,2023-02-07,2024-01-05,2023-02-07,2023-12-05,Pancréatine,A09AA02,A,Voies digestives et métabolisme,Viatris
"CREON 35 000 U, gélule gastrorésistante",Tension,2024-03-20,,2024-03-20,2024-05-07,Pancréatine,A09AA02,A,Voies digestives et métabolisme,Viatris
"CREON 5 000 U, granulés gastro-résistants",Tension,2024-03-12,,2024-03-12,2024-05-07,Pancréatine,A09AA02,A,Voies digestives et métabolisme,Viatris
"CRESEMBA 200 mg, poudre pour solution à diluer pour perfusion",Tension,2022-04-14,,2022-04-14,2022-05-01,Isavuconazonium (sulfate d'),J02AC05,J,Anti-infectieux à usage systémique,Basilea Medica
"CRESEMBA 200 mg, poudre pour solution à diluer pour perfusion",Rupture,2022-06-14,2022-07-08,2022-06-14,2022-06-28,Isavuconazonium (sulfate d'),J02AC05,J,Anti-infectieux à usage systémique,Basilea Medica
"CRESEMBA 200 mg, poudre pour solution à diluer pour perfusion",Tension,2022-07-08,,2022-08-09,2022-09-01,Isavuconazonium (sulfate d'),J02AC05,J,Anti-infectieux à usage systémique,Basilea Medica
"CYAMEMAZINE 25 mg, comprimé pelliculé sécable (Spécialités à base de)",Tension,2021-03-17,2021-04-16,2021-03-17,2021-04-05,Cyamémazine,N05AC07,N,Système nerveux,Sanofi
"CYCLOPHOSPHAMIDE Sandoz 1000 mg, poudre pour solution injectable ou pour perfusion",Rupture,2022-09-02,,2022-09-02,2023-11-10,Cyclophosphamide,L01AA01,L,Antinéoplasiques et immunomodulateurs,Sandoz
"CYSTAGON, 50 mg, gélule",Tension,2020-11-16,2021-04-13,2021-04-13,2021-05-17,Mercaptamine (bitartrate de),A16AA05,A,Voies digestives et métabolisme,Recordati
"DALACINE 75 mg, gélule",Rupture,2022-05-25,2022-09-12,2022-09-01,2022-09-01,Clindamycine (chlorhydrate de) hydraté,J01FF01,J,Anti-infectieux à usage systémique,Pfizer
"DALACINE 75 mg, gélule",Tension,2023-02-03,2023-09-07,2023-02-03,2023-08-01,Clindamycine (chlorhydrate de) hydraté,J01FF01,J,Anti-infectieux à usage systémique,Pfizer
"DALACINE 75 mg, gélule",Rupture,2023-09-07,2023-12-14,2023-09-07,2023-12-05,Clindamycine (chlorhydrate de) hydraté,J01FF01,J,Anti-infectieux à usage systémique,Pfizer
"DALACINE 75 mg, gélule",Tension,2023-12-14,,2024-03-14,2024-05-07,Clindamycine (chlorhydrate de) hydraté,J01FF01,J,Anti-infectieux à usage systémique,Pfizer
"DAPTOMYCINE 500 mg, poudre pour solution injectable/pour perfusion",Tension,2021-04-12,,2021-04-19,2021-08-11,Daptomycine,J01XX09,J,Anti-infectieux à usage systémique,0
"DAPTOMYCINE ACCORD 350 mg, poudre pour solution injectable/pour perfusion",Rupture,2021-02-16,2021-08-30,2021-05-25,2021-08-11,Daptomycine,J01XX09,J,Anti-infectieux à usage systémique,Accord Healthcare
"DEPAKINE CHRONO 500 mg, comprimé pelliculé sécable à libération prolongée",Tension,2023-07-06,,2024-02-05,2024-05-07,Valproate de sodium,N03AG01,N,Système nerveux,Sanofi
"DEPAKOTE 250 mg et 500 mg, comprimé gastro-résistant",Tension,2020-07-10,2021-07-01,2021-04-19,2021-09-21,Acide valproïque,N03AG01,N,Système nerveux,Sanofi
"DEPO PRODASONE 150 mg/3 ml, suspension injectable (intramusculaire profonde)",Rupture,2022-05-31,2022-09-07,2022-05-31,2022-09-01,Acétate de médroxyprogestérone,"G03AC06, G03DA02, L02AB02",G,Système génito-urinaire et hormones sexuelles,0
"DEPO PRODASONE 150 mg/3 ml, suspension injectable (intramusculaire profonde)",Tension,2023-01-11,2023-04-05,2023-01-11,2023-03-01,Acétate de médroxyprogestérone,"G03AC06, G03DA02, L02AB02",G,Système génito-urinaire et hormones sexuelles,0
DEPO PRODASONE 500mg  suspension injectable,Rupture,2019-09-16,,2021-04-19,2022-06-28,Acétate de médroxyprogestérone,"G03AC06, G03DA02, L02AB02",G,Système génito-urinaire et hormones sexuelles,0
"DEROXAT 20mg/ 10 ml, suspension buvable",Rupture,2022-04-11,,2022-07-12,2023-03-01,Paroxétine (chlorhydrate de) hémihydraté,N06A B05,N,Système nerveux,GSK
"DEROXAT 20mg/ 10 ml, suspension buvable",Arret,2023-03-06,,2023-03-06,2024-05-07,Paroxétine (chlorhydrate de) hémihydraté,N06A B05,N,Système nerveux,GSK
"DESFERAL 500 mg, poudre et solvant pour solution injectable",Tension,2023-09-04,2024-03-18,2024-01-26,2024-03-01,Déféroxamine (mésilate de),V03AC01,V,Divers,Novartis
"DEXAMETHASONE MYLAN  4 mg/1ml, solution injectable, 20 ampoules de verre de 1 ml - DEXAMETHASONE MYLAN 20 mg/5 ml, solution injectable, 10 ampoules de verre de 5 ml",Tension,2020-01-24,,2021-04-19,2023-03-01,Dexaméthasone (phosphate sodique de),H02AB02,H,Hormones systémiques sauf hormones sexuelles et insulines,Mylan
"DEXTRION G 10 Lavoisier, solution injectable (IV) en flacon",Rupture,2023-09-12,2023-10-17,2023-09-12,2023-10-04,"Calcium (gluconate de), glucose, potassium (chlorure de), sodium (chlorure de)",B05BB02,B,Sang et organes hématopoïétiques,Lavoisier
"DEXTRION G 5 Lavoisier, solution injectable (IV) en flacon de 250 mL",Rupture,2023-09-12,,2024-01-18,2024-01-28,"Calcium (gluconate de), glucose, potassium (chlorure de), sodium (chlorure de)",B05BB02,B,Sang et organes hématopoïétiques,Lavoisier
"DEXTRION G 5 Lavoisier, solution injectable (IV) en flacon de 500 mL",Rupture,2023-09-12,2024-01-18,,2024-01-28,"Calcium (gluconate de), glucose, potassium (chlorure de), sodium (chlorure de)",B05BB02,B,Sang et organes hématopoïétiques,Lavoisier
"DIAMOX 500 mg, poudre et solvant pour préparation injectable",Tension,2020-05-26,,2022-08-03,2022-10-06,Acétazolamide,S01EC01,S,Organes sensoriels,Coopération Pharmaceutique Française
"DIAMOX 500 mg, poudre et solvant pour préparation injectable",Rupture,2022-10-27,,2022-10-27,2024-02-04,Acétazolamide,S01EC01,S,Organes sensoriels,Coopération Pharmaceutique Française
DIAZEPAM  5 mg et 10 mg comprimé,Tension,2021-02-10,2021-04-22,2021-04-22,2021-04-05,Diazépam,N05BA01,N,Système nerveux,0
"DIFICLIR 200 mg, comprimé pelliculé",Tension,2022-12-16,2023-07-13,2022-12-16,2023-06-06,Fidaxomicine,A07AA12,A,Voies digestives et métabolisme,Tillots
"DILANTIN 250 mg/5 ml, solution injectable",Rupture,2022-03-24,2022-06-29,2022-03-24,2022-06-28,Phénytoïne sodique,N03AB02,N,Système nerveux,Esteve Pharmaceuticals
"DILANTIN 250 mg/5 ml, solution injectable",Tension,2022-06-29,2022-12-23,2022-06-29,2022-11-19,Phénytoïne sodique,N03AB02,N,Système nerveux,Esteve Pharmaceuticals
"DILANTIN 250 mg/5 ml, solution injectable",Rupture,2022-12-23,2024-02-01,2023-09-29,2024-01-28,Phénytoïne sodique,N03AB02,N,Système nerveux,Esteve Pharmaceuticals
DIPENTUM 250 mg comprimé,Rupture,2021-08-16,2024-01-18,2023-08-29,2023-12-05,Olsalazine sodique,A07EC03,A,Voies digestives et métabolisme,Atnahs Pharma
DIPENTUM 250 mg comprimé,Tension,2024-01-18,2024-02-28,2024-01-18,2024-02-04,Olsalazine sodique,A07EC03,A,Voies digestives et métabolisme,Atnahs Pharma
DIPENTUM 500 mg comprimé,Rupture,2021-08-16,2024-01-18,2023-08-29,2023-12-05,Olsalazine sodique,A07EC03,A,Voies digestives et métabolisme,Atnahs Pharma
DIPENTUM 500 mg comprimé,Tension,2024-01-18,2024-02-28,2024-01-18,2024-02-04,Olsalazine sodique,A07EC03,A,Voies digestives et métabolisme,Atnahs Pharma
DIPENTUM 500 mg comprimé,Rupture,2024-02-28,,2024-02-28,2024-05-07,Olsalazine sodique,A07EC03,A,Voies digestives et métabolisme,Atnahs Pharma
"DIPROSTENE, suspension injectable en seringue pré-remplie",Rupture,2023-06-02,,2023-06-02,2023-07-22,"Bétaméthasone (dipropionate de), bétaméthasone (phosphate sodique de)",H02AB01,H,Hormones systémiques sauf hormones sexuelles et insulines,Organon
"DIPROSTENE, suspension injectable en seringue pré-remplie",Tension,2023-07-27,,2023-07-27,2024-05-07,"Bétaméthasone (dipropionate de), bétaméthasone (phosphate sodique de)",H02AB01,H,Hormones systémiques sauf hormones sexuelles et insulines,Organon
"DISCOTRINE 15 mg/24 heures, dispositif transdermique",Tension,2022-06-24,2022-08-30,2022-06-24,2022-08-02,Trinitrine,C01DA02,C,Système cardiovasculaire,Viatris
"DISCOTRINE 5 mg/24 heures, dispositif transdermique",Tension,2022-06-24,2022-08-30,2022-06-24,2022-08-02,Trinitrine,C01DA02,C,Système cardiovasculaire,Viatris
"DOLIPRANE, formes pédiatriques",Tension,2022-12-07,2023-06-13,2023-02-21,2023-06-06,Paracétamol,N02BE01,N,Système nerveux,Opella
"DOPACEPTIN 10 mg /ml, solution injectable en cartouche",Rupture,2023-05-26,2023-12-14,2023-10-11,2023-12-05,Apomorphine (chlorhydrate d') hémihydraté,N04BC07,N,Système nerveux,Ever Neuro Pharma
"DOPAMINE 5mg/ml, solution pour perfusion",Tension,2023-01-30,2023-06-14,2023-01-30,2023-06-06,Dopamine (chlorhydrate de),C01CA04,C,Système cardiovasculaire,0
"DOPAMINE 5mg/ml, solution pour perfusion",Rupture,2023-06-14,2023-07-26,2023-06-14,2023-07-22,Dopamine (chlorhydrate de),C01CA04,C,Système cardiovasculaire,0
"EAU pour préparations injectables en poche de 250 ml, 500 ml et 1 000 ml",Rupture,2020-11-25,,2021-04-19,2023-11-10,Eau,V07AB (solvants et diluants),V,Divers,0
"EFFERALGANMED pédiatrique 30 mg/ml, solution buvable en flacons de 90 ml et 150 ml",Tension,2022-12-15,2023-05-10,2023-02-21,2023-06-06,Paracétamol,N02BE01,N,Système nerveux,0
EFFORTIL solution buvable,Tension,2021-03-26,,2021-04-19,2022-11-19,Etiléfrine (chlorhydrate d'),C01CA01,C,Système cardiovasculaire,0
"EFFORTIL 5 mg, comprimé",Tension,2021-03-26,2022-12-14,2021-04-19,2022-11-19,Etiléfrine (chlorhydrate d'),C01CA01,C,Système cardiovasculaire,SERB
"EFFORTIL 5 mg, comprimé",Rupture,2022-12-14,2023-06-27,2022-12-14,2023-06-06,Etiléfrine (chlorhydrate d'),C01CA01,C,Système cardiovasculaire,SERB
"ELDISINE 5 mg, poudre pour solution injectable",Tension,2023-07-12,2023-11-30,2023-11-03,2023-11-10,Sulfate de vindésine,L01CA03,L,Antinéoplasiques et immunomodulateurs,EG Labo
"ELDISINE 5 mg, poudre pour solution injectable",Rupture,2023-11-30,,2024-03-14,2024-05-07,Sulfate de vindésine,L01CA03,L,Antinéoplasiques et immunomodulateurs,EG Labo
"ELIGARD 7,5 mg, poudre et solvant pour solution injectable",Tension,2023-10-25,2024-02-09,2023-10-25,2024-02-04,Leuproréline (acétate de),L02AE02,L,Antinéoplasiques et immunomodulateurs,0
"ELIGARD 7,5 mg, poudre et solvant pour solution injectable",Rupture,2024-02-09,,2024-02-09,2024-05-07,Leuproréline (acétate de),L02AE02,L,Antinéoplasiques et immunomodulateurs,0
"ELVORINE, solution injectable (tous dosages)",Tension,2022-02-18,,2022-04-08,2022-10-06,Lévofolinate de calcium,V03AF04,V,Divers,Pfizer
"EMEND 125 mg, gélule",Tension,2022-12-22,2023-03-09,2023-03-01,2023-03-01,Aprépitant,A04AD12,A,Voies digestives et métabolisme,MSD
"EMEND 125 mg, poudre",Tension,2021-06-04,2021-08-13,2021-06-04,2021-08-11,Aprépitant,A04AD12,A,Voies digestives et métabolisme,MSD
"EMEND 125 mg, poudre",Tension,2022-07-05,2022-08-30,2022-07-05,2022-08-02,Aprépitant,A04AD12,A,Voies digestives et métabolisme,MSD
"EMEND 125 mg, poudre",Tension,2022-10-20,2023-03-15,2023-03-01,2023-03-01,Aprépitant,A04AD12,A,Voies digestives et métabolisme,MSD
"EMERADE 300 et 500 microgrammes, solution injectable en stylo prérempli",Rupture,2023-05-18,,2023-10-03,2023-10-04,Adrénaline,C01CA24,C,Système cardiovasculaire,0
"ENANTONE LP 3,75 mg, microsphères et solution pour usage parentéral (S.C. ou I.M.) à libération prolongée en seringue pré-remplie",Tension,2023-09-13,2023-11-21,2023-09-13,2023-11-10,Leuproréline,L02AE02,L,Antinéoplasiques et immunomodulateurs,0
"ENTACAPONE Mylan 200 mg, comprimé pelliculé en boîte de 100",Rupture,2022-10-14,,2022-10-14,2023-09-27,Entacapone,N04BX02,N,Système nerveux,Mylan
"EPIPEN 0,30 mg/0,3 ml, solution injectable en stylo pré-rempli",Tension,2023-05-18,,2023-05-18,2023-09-27,Adrénaline,C01CA24,C,Système cardiovasculaire,Mylan
"EPREX 2000 UI/ml, 4000 UI/ml, 10 000UI/ml et 40 000 UI/ml, solution injectable en seringue préremplie",Tension,2022-07-22,,2022-08-11,2023-08-01,Époétine alfa,B03XA01,B,Sang et organes hématopoïétiques,Janssen-Cilag
"ERWINASE 10 000 UI/flacon, poudre pour solution pour injection",Tension,2021-03-17,2022-02-04,2021-03-17,2021-04-05,L-asparaginase,L01XX02,L,Antinéoplasiques et immunomodulateurs,Jazz Pharmaceuticals
"ERWINASE 10 000 UI/flacon, poudre pour solution pour injection",Rupture,2022-02-04,2022-08-01,2022-02-04,2022-06-28,L-asparaginase,L01XX02,L,Antinéoplasiques et immunomodulateurs,Jazz Pharmaceuticals
"ERWINASE 10 000 UI/flacon, poudre pour solution pour injection",Tension,2021-03-17,,2021-04-19,2022-01-24,L-asparaginase,L01XX02,L,Antinéoplasiques et immunomodulateurs,Jazz Pharmaceuticals
"ESPERAL 500 mg, comprimé",Rupture,2023-03-28,2023-06-14,2023-03-28,2023-06-06, Disulfirame,N07BB01,N,Système nerveux,0
"ESPERAL 500 mg, comprimé",Tension,2023-06-14,2023-09-21,2023-06-14,2023-09-27, Disulfirame,N07BB01,N,Système nerveux,0
"ETOMIDATE LIPURO 20 mg/10 ml, émulsion injectable",Rupture,2020-11-09,2021-07-09,2021-04-19,2021-07-03,Etomidate,N01AX07,N,Système nerveux,B. Braun Medical
"EUPRESSYL LP 30 mg, gélule - EUPRESSYL LP 60 mg, gélule - MEDIATENSYL LP 30 mg, gélule - MEDIATENSYL LP 60 mg, gélule",Rupture,2021-10-04,,2021-12-09,2022-02-07,Uradipil,C02CA06,C,Système cardiovasculaire,Takeda
"EUROBIOL 25 000 U, gélule gastro-résistante",Tension,2023-10-24,,2023-11-23,2024-05-07,Poudre de pancréas,A09AA02,A,Voies digestives et métabolisme,Mayoli Spindler
"EUROBIOL 40 000 U, gélule gastro-résistante",Rupture,2023-10-19,2023-11-23,2023-10-19,2023-11-10,Poudre de pancréas,A09AA02,A,Voies digestives et métabolisme,Mayoli Spindler
"EUROBIOL 40 000 U, gélule gastro-résistante",Tension,2023-11-23,,2024-02-23,2024-05-07,Poudre de pancréas,A09AA02,A,Voies digestives et métabolisme,Mayoli Spindler
"EXACYL 1 g/10 ml,  solution buvable",Rupture,2021-07-09,,2021-07-09,2023-08-01,Tranexamique (acide),B02AA02,B,Sang et organes hématopoïétiques,Cheplapharm
"EXFORGE HCT tout dosage, comprimé pelliculé",Tension,2023-02-22,2023-05-04,2023-04-28,2023-05-01,Bésilate d’amlodipine / Hydrochlorothiazide / Valsartan,C09DB01,C,Système cardiovasculaire,Novartis
"EXFORGE HCT, 10 mg, 160 mg, 12,5 mg, comprimé pelliculé",Rupture,2022-04-19,,2023-01-17,2023-02-02,Bésilate d’amlodipine / Hydrochlorothiazide / Valsartan,C09DB01,C,Système cardiovasculaire,Novartis
"EXTENCILLINE 1,2 MUI, poudre et solvant pour suspension injectable IM",Tension,2024-04-10,,2024-04-10,2024-04-23,Benzathine benzylpénicilline,J01CE08,J,Anti-infectieux à usage systémique,0
"EXTENCILLINE 2,4 MUI, poudre et solvant pour suspension injectable IM",Rupture,2021-03-30,,2021-05-26,2021-08-11,Benzathine benzylpénicilline,J01CE08,J,Anti-infectieux à usage systémique,0
"FARMORUBICINE 50 mg, poudre pour solution pour perfusion",Rupture,2021-12-10,2022-03-22,2021-12-10,2022-02-07,Epirubicine (Chlorhydrate),L01DB03,L,Antinéoplasiques et immunomodulateurs,0
"FASTURTEC 1,5 mg/ml, poudre et solvant pour solution à diluer pour perfusion",Tension,2023-04-25,,2023-04-25,2024-05-07,Rasburicase,V03AF07,V,Divers,0
"FERRIPROX 100 mg/ml, solution buvable",Rupture,2019-10-08,,2021-04-19,2023-11-10,Défériprone,V03AC02,V,Divers,Swedish Orphan Biovitrum
"FERRIPROX 500 mg et 1000 mg, comprimé pelliculé",Tension,2023-09-01,2024-01-08,2023-09-01,2024-01-18,Défériprone,V03AC02,V,Divers,Swedish Orphan Biovitrum
"FERROSTANE 0,68 pour cent, sirop",Tension,2023-03-20,2023-05-31,2023-03-20,2023-08-01,Ferédétate de sodium,B03AA03,B,Sang et organes hématopoïétiques,0
"FERTISTARTKIT 75 - 150 UI, poudre et solvant pour solution injectable",Tension,2023-04-18,2023-09-07,2023-04-18,2023-08-01,Hormone folliculo stimulante; hormone lutéinisante,G03GA30,G,Système génito-urinaire et hormones sexuelles,0
"FIASP PumpCart 100 unités/ml, solution injectable en cartouche",Tension,2023-04-03,2023-04-19,2023-04-03,2023-04-19,Insuline (Aspartate),A10AB05,A,Voies digestives et métabolisme,0
FIRDAPSE 10 mg  comprimé,Rupture,2021-02-15,,2021-04-19,2023-11-10,Amifampridine (phosphate d'),N07XX05,N,Système nerveux,Biomarin
"FIRMAGON 80 mg, poudre et solvant pour solution injectable",Tension,2021-09-23,2021-10-18,2021-09-23,2021-10-08,Dégarélix,L02BX02,L,Antinéoplasiques et immunomodulateurs,0
"FIRMAGON 80 mg, poudre et solvant pour solution injectable",Tension,2022-10-12,2022-11-24,2022-10-12,2022-11-19,Dégarélix,L02BX02,L,Antinéoplasiques et immunomodulateurs,0
"FLAGYL 125 mg/5 ml, suspension buvable",Tension,2022-08-18,2023-12-29,2023-07-26,2023-12-05,Métronidazole (benzoate de),J01XD01,J,Anti-infectieux à usage systémique,0
